"","x"
"846","Colletes daviesanus"
"847","Colletes distinctus"
"848","Colletes eulophi"
"849","Colletes fodiens"
"850","Colletes fulgidus"
"851","Colletes gypsicolens"
"852","Colletes halophilus"
"853","Colletes hederae"
"854","Colletes hyalinus"
"855","Colletes inaequalis"
"856","Colletes karooensis"
"857","Colletes kincaidii"
"858","Colletes larreae"
"859","Colletes laticinctus"
"860","Colletes latitarsis"
"861","Colletes lutzi"
"862","Colletes mandibularis"
"863","Colletes mitchelli"
"864","Colletes nigricans"
"865","Colletes nigritulus"
"866","Colletes nudus"
"867","Colletes paniscus"
"868","Colletes petalostemonis"
"869","Colletes productus"
"870","Colletes robertsonii"
"871","Colletes seminitidus"
"872","Colletes similis"
"873","Colletes simulans"
"874","Colletes slevini"
"875","Colletes succinctus"
"876","Colletes susannae"
"877","Colletes thoracicus"
"878","Colletes thysanellae"
"879","Colletes willistoni"
"880","Colletes wilmattae"
"881","Collinsia parviflora"
"882","Collinsia verna"
"883","Comandra umbellata"
"884","Commelina diffusa"
"885","Commelina erecta"
"886","Compsomelissa angustula"
"887","Compsomelissa nigrinervis"
"888","Compsomelissa stigmoides"
"889","Conanthalictus bakeri"
"890","Conanthalictus caerulescens"
"891","Conanthalictus conanthi"
"892","Conanthalictus nigricans"
"893","Condea emoryi"
"894","Conicosia pugioniformis"
"895","Conoclinium coelestinum"
"896","Convolvulus althaeoides"
"897","Convolvulus arvensis"
"898","Conyza bonariensis"
"899","Conyza canadensis"
"900","Cordia sonorae"
"901","Coreopsis grandiflora"
"902","Coreopsis lanceolata"
"903","Coreopsis palmata"
"904","Coreopsis tripteris"
"905","Coriandrum sativum"
"906","Cornus alternifolia"
"907","Cornus amomum"
"908","Cornus canadensis"
"909","Cornus drummondii"
"910","Cornus florida"
"911","Cornus racemosa"
"912","Cornus sericea"
"913","Corynura chloris"
"914","Coryphantha clavata"
"915","Cota tinctoria"
"916","Coursetia glandulosa"
"917","Crataegus crus-galli"
"918","Crataegus intricata"
"919","Crataegus mollis"
"920","Crataegus pruinosa"
"921","Crepis tectorum"
"922","Crithmum maritimum"
"923","Crotalaria pallida"
"924","Crotalaria rotundifolia"
"925","Crotalaria sagittalis"
"926","Croton michauxii"
"927","Croton setiger"
"928","Cryptotaenia canadensis"
"929","Ctenocolletes nicholsoni"
"930","Ctenocolletes nigricans"
"931","Ctenocolletes rufescens"
"932","Ctenoplectra albolimbata"
"933","Ctenoplectra antinorii"
"934","Ctenoplectra terminalis"
"935","Ctenoplectrina politula"
"936","Cucurbita foetidissima"
"937","Cucurbita pepo"
"938","Cuphea viscossima"
"939","Cuscuta cephalanthi"
"940","Cuscuta glomerata"
"941","Cuscuta polygonorum"
"942","Cymbidium canaliculatum"
"943","Cymbidium madidum"
"944","Cynanchum laeve"
"945","Cynoglossum officinale"
"946","Cyphanthidium intermedium"
"947","Cypripedium acaule"
"948","Cypripedium arietinum"
"949","Cypripedium calceolus"
"950","Cypripedium candidum"
"951","Cypripedium parviflorum"
"952","Cypripedium reginae"
"953","Cytisus proliferus"
"954","Dactylorhiza incarnata"
"955","Dactylorhiza purpurella"
"956","Dactylurina staudingeri"
"957","Dalea candida"
"958","Dalea feayi"
"959","Dalea purpurea"
"960","Dalea villosa"
"961","Dasiphora fruticosa"
"962","Dasistoma macrophylla"
"963","Dasypoda altercator"
"964","Dasypoda cingulata"
"965","Dasypoda hirtipes"
"966","Dasypoda iberica"
"967","Datura wrightii"
"968","Daucus carota"
"969","Delphinium carolinianum"
"970","Delphinium tricorne"
"971","Dendrobium adae"
"972","Dendrobium canaliculatum"
"973","Dendrobium kingianum"
"974","Dendrobium linguiforme"
"975","Dendrobium monophyllum"
"976","Descurainia pinnata"
"977","Desmodium canadense"
"978","Desmodium canescens"
"979","Desmodium cuspidatum"
"980","Desmodium glutinosum"
"981","Desmodium illinoense"
"982","Desmodium marilandicum"
"983","Desmodium paniculatum"
"984","Desmodium rigidum"
"985","Desmodium sessilifolium"
