Checklist names,Synonyms from DL,Notes
Osmia bruneri,Osmia bennettae; Osmia holochlora; Osmia (Nothosmia) bruneri; Osmia (Chenosmia) bruneri,
Osmia californica,Osmia pascoensis; Osmia nassa; Osmia occidentalis ,
Osmia calla,Osmia (Chenosmia) calla ,
Osmia clarescens,Osmia (Nothosmia) clarescens; Osmia (Chenosmia) clarescens ,
Osmia coloradensis,Osmia hypochrysea; Osmia hypochrysea Rohweri; Osmia pasadenae; Osmia (Chalcosmia) coloradensis ,
Osmia gabrielis,,None
Osmia gaudiosa,Osmia (Chenosmia) gaudiosa ,
Osmia kincaidii,Osmia (Nothosmia) kincaidii; Osmia (Chenosmia) kincaidii ,
Osmia laeta,Osmia (Nothosmia) laeta; Osmia (Chenosmia) laeta ,
Osmia nemoris,Osmia seclusa; Osmia abdominalis; Osmia (Nothosmia) nemoris; Osmia (Euthosmia) nemoris; Osmia (Mystacosmia) nemoris ,
Osmia tristella,"Osmia hypoleuca; Osmia cyanosoma; Osmia tristella cyanosoma; Osmia (Nothosmia) tristella; Osmia (Chenosmia) tristella; Osmia (Melanosmia) tristella cyanosoma, valid subspecies",
Protosmia rubifloris,Chelynia rubifloris; Chelostoma rubifloris edwardsii; Raphidostoma ceanothi ,
Stelis,,Genus
