"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"92","Lasioglossum diversopunctatum","Halictus diversopunctatus","Dialictus diversopunctatus","Lasioglossum (Dialictus) diversopunctatum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93","Lasioglossum hammondi","Halictus hammondi","Evylaeus hammondi","Lasioglossum (Evylaeus) hammondi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","Lasioglossum hyalinum","Halictus (Chloralictus) hyalinus","Dialictus hyalinus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","Lasioglossum incompletum","Halictus (Chloralictus) incompletus","Dialictus incompletus","Dialictus ornduffi","Lasioglossum (Dialictus) ornduffi","Lasioglossum (Dialictus) incompletum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","Lasioglossum kincaidii","Halictus kincaidii","Evylaeus kincaidii","Lasioglossum (Evylaeus) kincaidii","Lasioglossum (Hemihalictus) kincaidii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97","Lasioglossum mellipes","Halictus (Lasioglossum) mellipes","Lasioglossum (Lasioglossum) mellipes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98","Lasioglossum microlepoides","Halictus microlepoides","Dialictus microlepoides","Lasioglossum (Dialictus) microlepoides","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","Lasioglossum miguelense","Halictus miguelensis","Halictus cooleyi obscurior","Evylaeus miguelensis","Lasioglossum (Evylaeus) miguelense","Lasioglossum (Sphecodogastra) miguelense","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","Lasioglossum nevadense","Halictus (Chloralictus) nevadensis","Halictus (Chloralictus) pasadenae","Dialictus nevadensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101","Lasioglossum nigrescens","Halictus (Evylaeus) nigrescens","Evylaeus nigrescens","Lasioglossum (Evylaeus) nigrescens","Lasioglossum (Sphecodogastra) nigrescens","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
